Organization,Member (Y/N),Country,City
FlashWeb IT,Yes,Romania,Bucharest
enRoute,Yes,France,Paris
ITS America,No,USA,"Washington, D.C."
Rural Area Development Programme (RADP),No,Nepal,Kathmandu
Rural Area Development Programme (RADP),No,Nepal,Kathmandu
Shared-Use Mobility Center,No,USA,Chicago
Val Laboratory Corporation,No,Japan,Tokyo
Val Laboratory Corporation,No,Japan,Tokyo
Bus2,Yes,Brazil,Belo Horizonte
transport.data.gouv — France NAP,Yes,France,Paris
Rome2rio (Omio),No,Australia,Melbourne
ODPT,Yes,Japan,Tokyo
ARTM — Montreal area,Yes,Canada,Montreal
Agence de Mobilité Durable Montréal,Yes,Canada,Montreal
HVV — Hamburg,Yes,Germany,Hamburg
Ito World,Yes,UK,Cambridge
Transit App,Yes,Canada,Montreal
Kuban Transit Solutions,No,Canada,Montreal
MBTA,Yes,USA,Boston
Metroselskabet — Copenhagen,No,Denmark,Copenhagen
Entur — Norway,Yes,Norway,Oslo
Swiftly,Yes,USA,San Francisco
Agence de Mobilité Durable Montréal,Yes,Canada,Montreal
Tècnic del Centre de Gestió de la Informació de la Mobilitat (CGIM),No,Spain,Barcelona
MTC,Yes,USA,San Francisco
Polis Network,Yes,Belgium,Brussels
Transit,Yes,Canada,Montreal
Transit,Yes,Canada,Montreal
Université de Montréal,No,Canada,Montreal
Transit,Yes,Canada,Montreal
Transport for Cairo,No,Egypt,Cairo
HVV GmbH,Yes,Germany,Hamburg
Massachusetts Bay Transportation Authority,Yes,USA,Boston
CSA Group,No,Canada,Toronto
LA Metro,No,USA,Los Angeles
City of Montréal,No,Canada,Montreal
GMV,No,USA,Rockville
Federal Transit Administration (U.S. Department of Transportation),No,USA,"Washington, D.C."
Bus2,Yes,Brazil,Belo Horizonte
King County Metro,Yes,USA,Seattle
Jarvus Innovations,No,USA,Philadelphia
Toyota Mobility Foundation,No,USA,"Washington, D.C."
Beta Mobility,No,Norway,Oslo
Siemens Mobilty,No,USA,New York
Transit App,Yes,Canada,Montreal
Transit App,Yes,Canada,Montreal
Interline Technologies,No,USA,San Francisco
Klumpentown Consulting,No,USA,Calgary
"DVS & Asociados, LLC",Yes,Puerto Rico,San Juan
Michigan Department of Transportation,No,USA,Lansing
Polytechnique Montreal - Chaire Mobilité,Yes,Canada,Montreal
Lime,No,USA,San Francisco
ITES Media,Yes,Canada,Montreal
ITES Media,Yes,Canada,Montreal
Chicago Transit Authority,No,USA,Chicago
STM,Yes,Canada,Montreal
Masabi,No,Canada,London
Full Path LLC,Yes,USA,Portland
Jarvus Innovations,No,USA,Philadelphia
Swiftly,Yes,Canada,San Francisco
Rhode Island Public Transit Authority,No,USA,Providence
Rhode Island Public Transit Authority,No,USA,Providence
